instance_name	criteria_function	paths_count	average_gap	minimum_gap	maximum_gap	average_execution_time	minimum_execution_time	maximum_execution_time
pr01	benefit_insertion_ratio	1	53.394216133942166	53.12024353120244	53.57686453576864	1874.6925765037536	1845.0809924602509	1910.163540363312
pr01	benefit_insertion_ratio	2	27.184170471841707	26.17960426179604	29.071537290715373	1998.2557248592377	1952.6572642326355	2043.780076742172
pr01	benefit_insertion_ratio	3	9.223744292237441	8.52359208523592	9.74124809741248	1842.445363998413	1820.512536287308	1876.790212869644
pr01	benefit_insertion_ratio	4	1.248097412480974	1.21765601217656	1.36986301369863	1894.4224318504334	1828.9773399829865	2089.5833048820496
pr02	benefit_insertion_ratio	1	68.14754098360656	67.70491803278689	68.60655737704919	1942.7271514892577	1878.541489124298	2071.504527807236
pr02	benefit_insertion_ratio	2	44.967213114754095	44.26229508196721	45.57377049180328	2004.4200843811036	1957.582929134369	2095.2440383434296
pr02	benefit_insertion_ratio	3	29.78688524590164	29.098360655737704	30.983606557377048	2179.234761762619	2141.799406528473	2221.6541204452515
pr02	benefit_insertion_ratio	4	17.475409836065573	16.885245901639344	18.19672131147541	2662.094737768173	2463.0704617500305	2797.013491630554
pr03	benefit_insertion_ratio	1	78.579418344519	78.46756152125279	78.69127516778524	2047.805193090439	1991.08230304718	2112.9168639183044
pr03	benefit_insertion_ratio	2	60.872483221476514	59.8434004474273	61.74496644295302	2044.6811659812927	1970.4710240364077	2085.9061892032623
pr03	benefit_insertion_ratio	3	48.89261744966443	47.98657718120805	50.33557046979866	1948.1351387500763	1883.761544466019	2010.8129415512085
pr03	benefit_insertion_ratio	4	38.366890380313194	37.41610738255034	38.982102908277405	2708.081247472763	2562.9783391952515	2826.024598121643
pr04	benefit_insertion_ratio	1	81.7117480823577	81.42914816310054	81.95397658457811	1997.7522039890289	1902.4641501903532	2053.027617931366
pr04	benefit_insertion_ratio	2	67.12151796528057	66.69358094469115	67.86435203875656	3011.542147016525	1850.4351966381075	3456.176608562469
pr04	benefit_insertion_ratio	3	54.59830440048446	53.81509890997174	55.591441259588215	3326.375360298157	3151.559891462326	3440.664493083954
pr04	benefit_insertion_ratio	4	43.55268469923295	42.1881308033912	45.215987081146544	3713.6598564624787	3571.324599981308	3945.968650579453
pr05	benefit_insertion_ratio	1	84.01671142942405	83.79588182632051	84.24350940017905	2016.049665260315	1837.646406173706	2569.6142613887787
pr05	benefit_insertion_ratio	2	71.73381080274544	71.05341689048046	72.66487615637122	2835.995138502121	2623.1983003616333	3071.6137413978577
pr05	benefit_insertion_ratio	3	60.161145926589086	59.41509997015816	60.69829901521933	4952.637944316864	3806.1749081611633	5544.742004394531
pr05	benefit_insertion_ratio	4	51.692032229185315	51.059385258131904	52.37242614145031	5841.273462486267	5633.331636667252	6196.9683842659
pr06	benefit_insertion_ratio	1	85.74230454916918	84.82702260964315	86.27077090710978	2465.5910223960877	2293.0209336280823	2540.5725071430206
pr06	benefit_insertion_ratio	2	75.28193952601471	74.7480250612912	75.89212748569872	2955.9106661319734	2826.442218542099	3014.47912979126
pr06	benefit_insertion_ratio	3	64.325796785617	63.22527921547262	65.13211658948515	5335.097592687607	4427.456260681152	6137.060824871063
pr06	benefit_insertion_ratio	4	55.43448651593572	54.5900299645873	56.25170253336965	7034.295638561249	6729.119400262833	7204.200282812119
pr07	benefit_insertion_ratio	1	69.24050632911393	68.56540084388185	69.62025316455697	1879.302814912796	1825.180819749832	1940.5142951011655
pr07	benefit_insertion_ratio	2	41.582278481012665	40.822784810126585	42.29957805907173	1952.0890574455261	1929.0680935382843	1984.271383523941
pr07	benefit_insertion_ratio	3	24.451476793248947	23.417721518987346	25.52742616033755	2355.255500411987	2330.112361907959	2376.579996347428
pr07	benefit_insertion_ratio	4	14.0084388185654	13.18565400843882	14.873417721518988	2139.935553455353	2032.919634580612	2211.98215508461
pr08	benefit_insertion_ratio	1	77.93619142572284	77.06879361914257	78.46460618145564	1989.8635100841523	1906.5424671173096	2167.834358930588
pr08	benefit_insertion_ratio	2	61.5752741774676	60.26919242273181	62.66201395812563	2260.618072319031	2208.7803978919983	2335.075250387192
pr08	benefit_insertion_ratio	3	49.93020937188435	49.10269192422732	50.64805583250249	2025.9533797264103	1874.8363165855408	2125.461497306824
pr08	benefit_insertion_ratio	4	37.617148554336985	36.440677966101696	38.83349950149551	2679.205310201645	2443.124540567398	2814.6773402690887
pr09	benefit_insertion_ratio	1	83.21637426900585	82.56578947368422	83.80847953216374	1868.866856098175	1817.0929517745967	1938.757557630539
pr09	benefit_insertion_ratio	2	71.31578947368422	70.57748538011695	72.62426900584795	2119.13787651062	2037.9962553977969	2210.481100082397
pr09	benefit_insertion_ratio	3	60.81140350877193	59.72222222222222	61.95175438596491	3958.241358232498	3846.2602841854095	4189.948142051697
pr09	benefit_insertion_ratio	4	48.37719298245614	46.23538011695906	50.10964912280702	4667.959754133224	4410.874705076218	5467.673887968063
pr10	benefit_insertion_ratio	1	86.38441558441559	85.84415584415585	87.16883116883118	1911.6400891780854	1802.8298485279083	2039.3437731266024
pr10	benefit_insertion_ratio	2	75.1064935064935	73.19480519480518	76.18181818181819	3456.4058983802797	3335.602110385895	3548.704444646836
pr10	benefit_insertion_ratio	3	64.37402597402597	62.07792207792208	65.5844155844156	5951.1177156925205	5104.661104917526	7369.885995864868
pr10	benefit_insertion_ratio	4	55.78181818181819	54.75324675324676	57.14285714285714	7733.649646902084	7415.182647943497	8202.44642162323
